
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"19125","Marion, IA",1077736,1072470,1127796,1277929,1381441,1405881,1456627,1393315,1307858,1322185,1367694,1521503,1520045,1588587,1663575,1732180,1967597,2095693,2261148,2253544
"19127","Marshall, IA",1241701,1245655,1273456,1375689,1376042,1444106,1552475,1566427,1573637,1576886,1620796,1705051,1725499,1719202,1809822,1781963,1799393,1916935,1953708,2021871
"19129","Mills, IA",251745,264732,280347,310904,305530,324156,328036,378003,415714,386080,404499,458389,469817,451941,453796,484636,516925,556615,645678,584197
"19131","Mitchell, IA",248449,267989,255767,296392,295897,324214,352285,408966,375329,454647,494875,501880,594835,637267,630456,638672,620593,687030,711354,673893
"19133","Monona, IA",193366,212059,228772,252890,226375,205783,250454,281913,315777,272145,291478,283923,310886,311048,338044,281238,306923,300496,334519,334503
"19135","Monroe, IA",227228,227120,239554,264110,270843,288836,316243,367836,415882,402014,375288,364152,369591,364701,395266,393487,394844,426160,438161,440607
"19137","Montgomery, IA",288070,306696,303402,351207,350725,372476,367457,382839,393164,369537,387974,402504,412865,390654,423707,415186,414952,428561,438391,421367
"19139","Muscatine, IA",1729886,1868509,1886006,1975867,2033229,2181943,2242077,2231802,2089312,2055065,2090609,2208043,2260554,2461720,2605696,2613518,2697162,2714487,2680798,2608878
"19141","O'Brien, IA",369074,378282,426730,467376,468031,468183,489589,538392,502850,569905,672501,707513,752212,827471,801315,883853,941409,930305,940856,900777
"19143","Osceola, IA",201563,202056,212536,263513,255563,360194,375951,350966,240950,299905,358352,367340,424053,475605,412957,364968,440591,447563,371074,340693
"19145","Page, IA",365534,357704,384472,442880,446470,466579,466508,501695,533788,504180,510030,560344,584593,578157,584497,587962,600820,611466,653140,638930
"19147","Palo Alto, IA",239258,239969,271473,323084,330071,429713,484171,458531,381460,391125,478981,512521,578278,610284,591257,541102,591128,620466,565892,519305
"19149","Plymouth, IA",697283,740429,818457,916753,897701,922924,989942,1064883,1069249,1131126,1143552,1214158,1259943,1294560,1292394,1382717,1436227,1480248,1496995,1427185
"19151","Pocahontas, IA",192599,225076,232315,273367,259940,271439,285421,368663,352938,326517,406709,468337,550167,559956,606747,604548,494911,538992,571593,478503
"19153","Polk, IA",19730403,20341276,22595625,25224754,27917821,28038196,31710276,28293727,28470308,29265651,29382151,31818645,31367032,36221530,40363795,42194353,41698199,43450747,44976120,46873133
"19155","Pottawattamie, IA",2315176,2425914,2624307,2872162,3000032,3260434,3451341,3802028,3960510,3695642,3733206,4025990,4129870,4214176,4320788,4319990,4243145,4536893,4507397,4234787
"19157","Poweshiek, IA",607707,664460,718030,814579,819914,819746,892480,830503,807522,837902,961245,1022248,1015843,1090115,1105517,1029716,1021530,1109414,1140454,1244578
"19159","Ringgold, IA",76929,76327,79546,106475,103814,101742,90903,103837,118841,120815,138298,141774,173683,170982,172809,159529,195820,193777,208106,195713
"19161","Sac, IA",237364,246987,243001,319908,308801,302867,357476,389104,355051,415183,459221,465216,533159,541063,525403,498931,523416,537774,552901,549379
"19163","Scott, IA",5429527,5735114,5891865,6405547,6941258,7099744,7385231,7400753,7259087,7546876,7908462,8456258,8464188,8685192,9026970,8919522,9326182,9510078,9899380,9605748
"19165","Shelby, IA",290785,311651,311144,381936,387898,396336,427604,495965,506961,530078,620703,712171,707203,688876,713245,677418,669007,709869,742015,700778
"19167","Sioux, IA",1016827,1121996,1276475,1369072,1398888,1510467,1504667,1610476,1429372,1625042,1792391,1944960,2068060,2301970,2409243,2357536,2603789,2642981,2540894,2489752
"19169","Story, IA",2464709,2603377,2786247,2993574,3164877,3358484,3553622,3761453,3753180,3850433,4071501,4366412,4775186,5033073,5227702,5156389,5458452,5601699,5779548,5761155
"19171","Tama, IA",332225,353218,333128,426576,409297,426838,483735,485610,503181,490288,548851,567224,563272,531493,542300,585055,564373,612295,648017,729252
"19173","Taylor, IA",100749,109905,125588,163491,155976,161537,182811,195313,207803,195030,201687,200030,234922,217451,226822,196717,237926,245648,264358,259421
"19175","Union, IA",318654,340323,345411,406433,417742,436680,446564,478524,478108,524036,541760,550334,570743,586498,575162,537868,581461,633048,646901,642001
"19177","Van Buren, IA",115014,126853,142018,182726,176728,191378,199312,205257,194996,202287,213160,250925,237184,233571,219638,208985,231338,243937,234937,224960
"19179","Wapello, IA",1072263,1090966,1131126,1178258,1161871,1286045,1391967,1526990,1623075,1504306,1401356,1505952,1589802,1564457,1746836,1679347,1666921,1681366,1718764,1686422
"19181","Warren, IA",524781,567326,604822,674484,708112,733372,780636,826427,851423,851924,911823,994102,1024765,1066019,1102141,1178081,1253001,1245827,1333212,1340791
"19183","Washington, IA",428654,440792,460362,527111,522815,580227,620831,664772,637973,710359,844522,916523,1005328,1107671,989649,983941,1144621,1223579,1297177,1067115
"19185","Wayne, IA",101494,118789,123238,141074,139268,137164,141090,162303,173349,166486,191143,185046,215851,184360,223714,203784,221131,246295,241626,252125
"19187","Webster, IA",1545606,1577015,1693526,1705936,1632810,1691007,1622897,1867331,1936827,2213838,2467350,2291687,2406145,2237517,2243365,2171361,2113179,2091773,2146000,2058953
"19189","Winnebago, IA",277701,284777,292027,336003,327016,340337,392031,404229,347161,409584,433689,440390,474362,447990,452779,394361,394869,436350,420675,441583
"19191","Winneshiek, IA",551871,572950,602138,670791,686874,701892,735196,773292,721153,794718,852329,877670,979059,973509,1041885,1005186,950756,995064,1016313,1060337
"19193","Woodbury, IA",3449063,3477251,3690258,4082678,4397495,4599696,4916320,5311774,5023740,4926584,4866713,4839541,4908191,5026204,5310253,5390668,5057465,5399467,5401851,5335902
"19195","Worth, IA",120305,135249,137707,170576,167560,288643,332509,313097,266955,296655,322970,318693,445553,452251,417221,350089,296084,302021,308275,309318
"19197","Wright, IA",386827,411382,427786,498349,479038,491714,574332,602617,537426,573415,711419,751892,760466,875451,837381,671682,672548,779821,671738,683910
"Legend / Footnotes:"
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
"Last updated: December 8, 2021 -- new statistics for 2020, revised statistics for 2001-2019."
